author,title,publish_place
Jianuo Liu,of health and wildlife sciences can help answer complicated questions regarding infectious diseases.,N/A
Jianuo Liu,Giant panda behavior across a coupled human and natural system,Giant panda behavior across a coupled human and natural system
Jianuo Liu,Interactive effects of multiple conservation and development policies,N/A
Jianuo Liu,Effects of Government Policies and Natural Disasters on the Patterns of Forest Cover Change in the Sichuan Giant Panda Sanctuary (China),N/A
Jianuo Liu,"Conservation Program Enrollment under Different Reforestation Policy Scenarios in Wolong Nature Reserve, China",N/A
Yang Wang,AIGO: A southern hemisphere detector for the worldwide array of ground-based interferometric gravitational wave detectors,Classical and Quantum Gravity
Yang Wang,Periodicity Search in RXTE ASM Data,The Astrophysical Journal Supplement Series
Yang Wang,LIGO: S1 Science Results and Plans Beyond,N/A
Yang Wang,Kozai Mechanism and Gravitational Wave Detection,Physical Review Letters
Yang Wang,X-Ray Binary X1908+ 075,The Astrophysical Journal
Fabio Sallustio,High Levels of Gut Homing IgA+ B Lymphocytes Support the Pathogenic Role of Intestinal Mucosal Hyper-responsiveness in IgA Nephropathy Patients,N/A
Fabio Sallustio,King’s Research Portal,Public Health Genomics
Fabio Sallustio,Adrenomedullin and Receptor for Urokinase Plasminogen Activator are involved in Hereditary Angioedema attacks: a transcriptomic study,N/A
Fabio Sallustio,BMP-2 induces a profibrotic phenotype in adult renal,Bone
Fabio Sallustio,Supplementary Tables and Figures Activated Innate Immunity and Involvement of the CX3CR1-FKN Axis in Promoting Hematuria in IgA Nephropathy Patients,N/A
Jia Ma,Resident compliance with the American Academy of Ophthalmology (AAO) Preferred Practice Patterns (PPPs) for Primary Open-Angle Glaucoma Suspects (POAGS),N/A
Jia Ma,Resident Compliance with the American Academy of Ophthalmology Preferred Practice Pattern® Guidelines for Conjunctivitis,N/A
Jia Ma,Effects of Prostaglandin Analogues on Corneal Epithelial and Keratocyte Viability and Wound Healing,N/A
Jia Ma,Molecular regulation of corneal epithelial wound healing,N/A
Jia Ma,"Articles in PresS. Am J Physiol Cell Physiol (May 21, 2008). doi: 10.1152/ajpcell. 90624.2007","American Journal of Physiology-Regulatory, Integrative and Comparative Physiology"
Yan Zhang,Transactions/Journals Department,N/A
Yan Zhang,Methods Of Proving The Properties Of Coefficient Of Correlation,N/A
Yan Zhang,"Our thanks to all those who have helped with this issue of Clinical Lipidology. Listed below are authors, referees and others who have kindly given their time, effort and …",N/A
Yan Zhang,A public-private partnership that supports the discovery of new medicines through open access research.,PLoS neglected tropical diseases
Yan Zhang,TPC Co-Chairs,N/A
Zhongpu Chen,Flexible aggregate nearest neighbor queries in road networks,2018 IEEE 34th International Conference on Data Engineering (ICDE)
Zhongpu Chen,Simba: spatial in-memory big data analysis,Proceedings of the 24th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems
Zhongpu Chen,Distributed in-memory analytics for big temporal data,International Conference on Database Systems for Advanced Applications
