author,title,publish_place
 Zhaorong Hu,"Genomic imprinting was evolutionarily conserved during wheat polyploidization (vol 30, pg 37, 2018)",The Plant Cell
 Zhaorong Hu,Focus on Chromatin/Epigenetics: GENERAL CONTROL NONREPRESSED PROTEIN5-Mediated Histone Acetylation of FERRIC REDUCTASE DEFECTIVE3 Contributes to Iron Homeostasis in Arabidopsis,Plant Physiology
 Zhaorong Hu,Isolation and characterization of Jasmonate induced protein TaJIP in wheat (Triticum aestivum).,N/A
 Zhaorong Hu,Wheat WRKY Gene TaWRKY51 Plays Positive Roles in Drought Stress,N/A
 Zhaorong Hu,Cloning and characterization of the brittle rachis locus Br-A in diploid wheat implicate the history of wheat domestication,N/A
 Jun Wei,Implementation of Clean NDN with Network Virtualization,N/A
 Jun Wei,ICNDC 2013,N/A
 Jun Wei,Networking and Distributed Computing,Mobile agents in networking and distributed computing
 Jun Wei,Agent-Aided Software Engineering of High Performance Applications,N/A
 Jun Wei,Evolutionary Scheduling of Dynamic Multitasking Workloads for Elastic Cloud Computing,N/A
 Nicolas Tapon,Apical and basal matrix remodeling control epithelial morphogenesis,Developmental cell
 Nicolas Tapon,Structural characterization of the ASPP/PP1 phosphatase complex,N/A
 Nicolas Tapon,The Drosophila AIP orthologue is essential for actin cytoskeleton stabilisation and cell adhesion,Endocrine Abstracts
 Nicolas Tapon,Crumbs promotes expanded recognition and degradation by the SCFSˡⁱᵐᵇ/ᵝ⁻ ᵀʳCᴾ ubiquitin ligase,N/A
 Nicolas Tapon,Structural characterization of the ASPP/PP1 phosphatase complex,N/A
 Sabina Moser Tralamazza,Streptomyces spp. Isolated from Marine and Caatinga Biomes in Brazil for the Biological Control of Duponchelia fovealis,Neotropical Entomology
 Sabina Moser Tralamazza,Histone H3K27 Methylation Perturbs Transcriptional Robustness and Underpins Dispensability of Highly Conserved Genes in Fungi,Molecular biology and evolution
 Sabina Moser Tralamazza,"Multi-Method Approach for Characterizing the Interaction between Fusarium verticillioides and Bacillus thuringiensis Subsp. Kurstaki (vol 10, e0141522, 2015)",PloS One
 Sabina Moser Tralamazza,IV Simpósio em Microbiologia Aplicada,N/A
 Sabina Moser Tralamazza,Isolamento e identificação de fungos do café verde de regiões cafeeiras do Estado do Paraná,N/A
 Benedito Corre_a,Signatura: BR0800147.,N/A
 Benedito Corre_a,ENVIRONMENT AND HEALTH—PS 1230,N/A
 Benedito Corre_a,"Incidência de micoses superficiais em São Paulo, Capital* Artigo original no idioma Português Brasileiro.",N/A
 Benedito Corre_a,"Beer industry in Brazil: Economic aspects, characteristics of the raw material and concerns Pivovarský průmysl v Brazílii: Ekonomické aspekty, charakteristika surovin a rizika",N/A
 Benedito Corre_a,Signatura: BR8902652.,N/A
 Maulik R. Kamdar,Focused Clinical Search through Query Intent Interpretation and a Healthcare Knowledge Graph,N/A
 Maulik R. Kamdar,Focused Clinical Query Understanding and Retrieval of Medical Snippets powered through a Healthcare Knowledge Graph,arXiv preprint arXiv:2009.09086
 Maulik R. Kamdar,ReVeaLD: A user-driven domain-specific interactive search platform for biomedical research,Journal of biomedical informatics
 Maulik R. Kamdar,Bridging the Usability–Expressivity Gap in Biomedical Data Discovery,N/A
 Maulik R. Kamdar,Bioinformatics Search,Methods
 Mrinal K. Maiti,Characterization of mitochondrial atp6 gene in WA [wild abortive] cytoplasmic male sterile line of rice,N/A
 Mrinal K. Maiti,Characterization of Arabidopsis mutants exhibiting defects in microsporogenesis.,PLANT PHYSIOLOGY
 Mrinal K. Maiti,Studies on acyl carrier protein ACP of Azospirillum brasilense purification of the protein and molecular cloning of the gene,N/A
 Mrinal K. Maiti,Enhancement of a-linolenic acid content in transgenic tobacco seeds by targeting a plastidial x-3 fatty acid desaturase (fad7) gene of Sesamum indicum to ER,Plant cell reports
 Mrinal K. Maiti,Attempt to modify the fatty acid composition of Brassica seed oil through genetic engineering,N/A
 Yafei Zhang,"The Element of Nonlinear Optics The Element of Nonlinear Optics 5, 1990",N/A
 Yafei Zhang,"J. Computation Chem. J. Computation Chem. 12, 487, 1991",Nature materials
 Yafei Zhang,Supporting Information Hierarchical Heterostructures based on Prickly Ni Nanowires/Cu2O Nanoparticles with Enhanced Photocatalytic Activity,N/A
 Yafei Zhang,Convolutional neural networks for P300 detection with application to brain-computer interfaces.,IEEE transactions on pattern analysis and machine intelligence
 Yafei Zhang,Semiconductor and Organic Lasers and Amplifiers Photoelectrochemical Liftoff of Patterned Sapphire Substrate for Fabricating Vertical Light-Emitting Diode..........,IEEE Photonics Technology Letters
 Sungwon Park,Nano-SiC added Ag paste sintering die-attach for SiC power devices,Proceedings of the 5th Electronics System-integration Technology Conference (ESTC)
 Sungwon Park,Pressure-less plasma sintering of Cu paste for SiC die-attach of high-temperature power device manufacturing,2014 IEEE 64th Electronic Components and Technology Conference (ECTC)
 Sungwon Park,Partial transient liquid phase bonding for high-temperature power electronics using Sn/Zn/Sn sandwich structure solder,CIPS 2014; 8th International Conference on Integrated Power Electronics Systems
 Sungwon Park,Oxidation resistance and joining properties of Cr-doped Zn bonding for SiC die-attachment,2013 IEEE 63rd Electronic Components and Technology Conference
 Sungwon Park,SiC die-attachment with minor elements added pure Zn under formic acid reflow,2012 4th Electronic System-Integration Technology Conference
 Xiaofei Cong,Trim72/cav1 Interaction Determines Repair Influx And Fibrogenesis Outflux In Pulmonary Fibrosis,B77. ROLE OF EPITHELIAL CELLS IN ACUTE LUNG INJURY
 Xiaofei Cong,Trim72 Regulates Complement Phagocytosis In Alveolar Macrophage Via Facultative Inhibition Of Crig,B36. MACROPHAGES: BASIC AND TRANSLATIONAL STUDIES
 Xiaofei Cong,"Role of SH3 and Cysteine-Rich Domain 3 (STAC3) in Skeletal Muscle Development, Postnatal Growth and Contraction","Role of SH3 and Cysteine-Rich Domain 3 (STAC3) in Skeletal Muscle Development, Postnatal Growth and Contraction"
 Xiaofei Cong,TRIM72 regulates complement phagocytosis in alveolar macrophage via facultative recycling of CRIg.,B36. MACROPHAGES: BASIC AND TRANSLATIONAL STUDIES
 Xiaofei Cong,Defective EC coupling is partially responsible for impaired contractibility in hindlimb muscle of Stac3 knockout mice,The FASEB Journal
 Lian-Wang Guo,METABOLISM AND BIOENERGETICS-Electron Transfer from the Rieske Iron-Sulfur Protein (ISP) to Cytochrome f in Vitro. IS A GUIDED TRAJECTORY OF THE ISP NECESSARY FOR COMPETENT …,Journal of Biological Chemistry
 Lian-Wang Guo,A guided trajectory for the soluble domain of the Rieske 2fe-2s protein is necessary for competent electron transfer,BIOPHYSICAL JOURNAL
 Lian-Wang Guo,Effect of salt stress on photosystem Ⅱ heterogeneity in wheat leaves,N/A
 Lian-Wang Guo,Photoinhibition of photosynthesis in sweet Viburnum leaves under natural conditions,N/A
 Lian-Wang Guo,984–The Spatiotemporal Dynamics of Low-Abundance Bioactive Lipids in Arteries Undergoing Restenosis Observed and Identified at High Spatial Resolving Power with Multi-Modal …,Microscopy and Microanalysis
 Bowen Wang,"Biomimetic, ROS-detonable nanoclusters—A multimodal nanoplatform for anti-restenotic therapy",Journal of Controlled Release
 Bowen Wang,Biomimetic vesicles and uses thereof,N/A
 Bowen Wang,The Spatiotemporal Dynamics of Low-abundance Bioactive Lipids in Arteries Undergoing Restenosis Observed and Identified at High Spatial Resolving Power with Multi-modal Mass …,Microscopy and Microanalysis
 Bowen Wang,Partnership between epigenetic reader BRD4 and transcription factor CEBPD,bioRxiv
 Stephen Seedial,Transforming Growth Factor β/Smad3 Stimulates Smooth Muscle Cell Migration and Proliferation Through a Signaling Pathway that Involves CXC Chemokine Receptor Type 4 Expression …,N/A
 Stephen Seedial,Transforming Growth Factor-Beta and its Signaling Mediator Smad3 Enhance Cell Survival After Vascular Injury,N/A
 Stephen Seedial,TGF-beta/Smad3-treated smooth muscle cells enhance the production of collagen type 3 from adventitial fibroblasts,N/A
 Stephen Seedial,Accelerated Aneurysmal Dilatation Associated with Apoptosis and Inflammation in a Newly Created Modified Calcium Chloride Rodent AAA Model,Journal of Vascular Surgery
 Stephen Seedial,Three Dimensional Volumetric Assessment of Orbital Fracture Size: A Novel Technique,Investigative Ophthalmology & Visual Science
 Tang Jiang,Bandgap Tunable Csx (CH3NH3) Perovskite Nanowires by Aqueous Solution Synthesis for Optoelectronic Devices,N/A
 Tang Jiang,Heavy-Metal-Free Solution-Processed Nanoparticle-Based Photodetectors: Doping of Intrinsic Vacancies...,Acs Nano
 Tang Jiang,"Flexible Filter-Free Narrowband Photodetector with High Gain and Customized Responsive Spectrum Liang Gao, Cong Ge, Wenhui Li, Chuancheng Jia, Kai Zeng, Weicheng Pan, Haodi Wu …",Advanced Functional Materials
 Tang Jiang,"Growth, Patterning and Alignment of Organolead Iodide Perovskite Nanowires for Optoelectronics",N/A
 Tang Jiang,Photodetectors and photovoltaics based on semiconductor nanocrystals,Infrared Physics & Technology
 Juan Ouyang,The MURAL collection of prostate cancer patient-derived xenografts enables discovery through preclinical models of uro-oncology,Nature communications
 Juan Ouyang,Molecular interaction networks to select factors for cell conversion,N/A
 Juan Ouyang,Challenges for Computational Stem Cell Biology: A Discussion for the Field,Stem Cell Reports
 Juan Ouyang,Single cell analysis of early metastasis identifies targetable tumor subpopulation and mechanisms of immune evasion in squamous cell cancers,N/A
 Juan Ouyang,Evaluating Capture Sequence Performance for Single-Cell CRISPR Activation Experiments,ACS synthetic biology
