author,title,publish_place
 Qiang Huang,Application of Apple Polyphenols Treatment Deleys Senescence in Harvested ‘Jinshayou’Pummelo by Enhancing Antioxidant Capacity,N/A
 Qiang Huang,Food & Function,N/A
 Qiang Huang,Food & Function,N/A
 Qiang Huang,STRUCTURE AND PURIFICATION OF FIBRONECTIN,The EMBO journal
 Qiang Huang,Studies on the Reaction and Properties of Esterified and Cross-linked Starches (Ⅲ)—Properties of Starch Paste and Use,N/A
 Zhen Sun,Erratum to: Study of gamma production in pPb collisions at root sNN= 8: 16 TeV,N/A
 Zhen Sun,Amplitude analysis of B s ⁰→ KS ⁰ K±π∓ decays,N/A
 Zhen Sun,"Our thanks to all those who have helped with this issue. Listed below are authors, referees and others who have kindly given their time, effort and expertise; their generosity …",N/A
 Zhen Sun,ICINIS 2009,N/A
 Zhen Sun,Supporting Spatially-Awareness for Networked Ubiquitous Devices Through Ambient Context Sensing,N/A
 Long Wang,"Synthesis, structure, and electrochemical characteristics of LiNi1/3Co1/3Mn1/3O2 prepared by thermal polymerization",Materials Research Bulletin
 Long Wang,Aluminum-Stabilized NASICON-Structured Li3V2 (PO4) 3,Journal of Materials Chemistry A
 Long Wang,Exfoliation from carbon nanotubes versus tube size on lithium insertion,Electrochemistry Communications
 Long Wang,Spin alignment and violation of the OZI rule in exclusive ω and ϕ production in pp collisions,Nuclear Physics B
 Long Wang,Rhombohedral Prussian white as cathode for rechargeable sodium-ion batteries,Journal of the American Chemical Society
 Jing Fan,"Abdelwahab, Manal M. Ai, Haojun An, Ping",N/A
 Jing Fan,"jic, Dragana 2953, 2768 Aalto, 0111 1330 Abderrahim. Sekkaki 199 2094 akiras, Spiridon 2370 alachandran, Anand 3271 Abdi. Ali 2630 Abreu-Sernandez, Victoria 1969",N/A
 Jing Fan,3-Special Session: Student Paper Contest 2,N/A
 Jing Fan,14-Channel Estimation and Synchronization,N/A
 Jing Fan,ICCCAS 2006 Technical Program Committee,N/A
 Jun Shi,Poster: Genomics Resources,Journal for Nurses in Professional Development
 Jun Shi,"Society, Tokyo, March 28-30, 2003",N/A
 Jun Shi,Abs# 937: Rice functional genomics using cDNA microarray: the system and application.,Bioinformatics and functional genomics
 Jun Shi,Abs# 971: Rice transcriptome: discovery of new cross-talk using literature knowledge and expression profile sets of NIAS rice microarray,BMC genomics
 Jun Shi,Poster: Genomic & proteomic resources,Journal of proteome research
 Jian Liu,F-I20,N/A
 Jian Liu,"Barnard, John, Lawrence Livermore/Berkeley National Laboratory, USA jjbarnard@ llnl. gov Barriga-Carrasco, Manuel, Universidad de Castilla-La Mancha, Spain",N/A
 Jian Liu,Dynamic optical transfer function: a function to characterize random motion degraded image,N/A
 Jian Liu,Personal report,Japanese Psychological Research
 Jian Liu,K/Mo-SBA-15 catalysts for highly efficient production of acetaldehyde and ethylene in the selective oxidation of ethane,N/A
 Liu Yang,A Molecular Mechanistic Study on Bacterial Biofouling Using a Surface Forces Apparatus (SFA),N/A
 Liu Yang,Co-integration Analysis Between Electricity Consumption and Economic Growth,2017 IEEE Conference on Energy Internet and Energy System Integration (Ei2)
 Liu Yang,A STUDY ON THE LARGEST AND SMALLEST q-SINGULAR VALUES OF RANDOM MATRICES,N/A
 Liu Yang,Who Adopts Matters: Evaluating the Health Impacts,N/A
 Liu Yang,ON THE RAUCH COMPARISON THEOREM AND ITS APPLICATIONS,N/A
 Yuanyuan Liu,Supplementary Materials for “Guaranteed Sufficient Decrease for Stochastic Variance Reduced Gradient Optimization”,International Conference on Artificial Intelligence and Statistics
 Yuanyuan Liu,A systematic review of the effectiveness of using systems approaches to healthcare planning,BMJ quality & safety
 Yuanyuan Liu,A Note on Monotone Functions of Uncertain Variables,Journal of Uncertain Systems
 Yuanyuan Liu,Determination of target values of engineering characteristics in QFD using uncertain programming,Journal of Uncertainty Analysis and Applications
 Yuanyuan Liu,An Extension for the Operational Law of Uncertain Variables,IEEE Transactions on Fuzzy Systems
 Chao Sun,Ai-je le droit de déposer un article publié?(11/05/15),DistanceS
 Chao Sun,Imaging of copper ejection in pico-and nanosecond Laser Induced Forward Transfer,N/A
 Chao Sun,BULK STATISTICS OF STABLE AND DECAYING TAYLOR-COUETTE TURBULENCE,"15th European Turbulence Conference, ETC 2015"
 Chao Sun,DYNAMICS OF FINITE-SIZED LIGHT SPHERES IN TURBULENCE,N/A
 Chao Sun,DOUBLE DIFFUSIVE CONVECTION BETWEEN TWO PARALLEL PLATES WITH DIFFERENT BOUNDARY CONDITIONS,"15th European Turbulence Conference, ETC 2015"
 Lu Gan,Speech Processing Optimal Speech Enhancement Under Signal Presence Uncertainty Using Log-Spectral Amplitude Estimator... I. Cohen 113 Image and Multidimensional Signal …,N/A
 Lu Gan,Signal Detection and Estimation A Fast Recursive Total Least Squares Algorithm for Adaptive FIR Filtering …,IEEE Transactions on Signal Processing
 Lu Gan,LOW-POWER LASER STIMULATION IMPROVES CARTILAGINOUS TISSUE FORMATION IN VITRO,N/A
 Lu Gan,CO-CULTURE OF PRIMARY AND PASSAGED ARTICULAR CHONDROCYTES ALLOWS USE OF MONOLAYER EXPANDED CHONDROCYTES TO FORM CARTILAGE TISSUE IN VITRO,N/A
 Lu Gan,Development Situation of Agricultural Machinery Information and its Countermeasure Research in Sichuan Province,Land
 Luwei Zhang,Fast fabrication of a hybrid monolithic column containing cyclic and aliphatic hydrophobic ligands via photo‐initiated thiol‐ene polymerization,Journal of separation science
 Luwei Zhang,Hydrophobic and hydrophilic modification of hierarchically porous monolithic polyimide derivatives as functional liquid absorbers,Materials Advances
 Luwei Zhang,Robust Titanium Phenolate-Modified Microspheres as Reusable Affinity Materials for Selectively Capturing Phosphopeptides from Complicated Biosamples,ACS Sustainable Chemistry & Engineering
 Luwei Zhang,Facile Preparation of Hierarchically Porous Monolith with Optical Activity Based on Helical Substituted Polyacetylene via One-Step Synthesis for Enantioselective Crystallization,ACS Applied Materials & Interfaces
 Luwei Zhang,Fabrication of a reusable bifunctional biomimetic Ti 4+-phosphorylated cellulose monolith with a coral-like structure for enrichment of phosphorylated and glycosylated peptides,Green Chemistry
 Yuting Du,Monitoring amyloid-β proteins aggregation based on label-free aptasensor,Sensors and Actuators B: Chemical
 Yuting Du,A novel nonenzymatic fructose sensor based on electrospun LaMnO3 fibers,Journal of Electroanalytical Chemistry
 Yuting Du,Pretreatment of coal by ionic liquids towards coal electrolysis liquefaction,N/A
 Yuting Du,Nitidine chloride-assisted bio-functionalization of reduced graphene oxide by bovine serum albumin for impedimetric immunosensing,Biosensors and Bioelectronics
 Rong Zhou,Effects of isoflavone aglycone on the prevention of obesity in a diet-induced obese mouse model,FASEB JOURNAL
 Rong Zhou,Effects of isoflavone aglycone on the prevention of obesity in an ovariectomized mouse model.,AMERICAN JOURNAL OF CLINICAL NUTRITION
 Rong Zhou,Biochemical and Molecular Action of Nutrients-b-Carotene Modulates Human Prostate Cancer Cell Growth and May Undergo Intracellular Metabolism to Retinol,The Journal of nutrition
 Rong Zhou,Biochemical and Molecular Action of Nutrients,J. Nutr
 Rong Zhou,Biochemical and Molecular Action of Nutrients,J. Nutr
 Hong Zhang,Studies on the magnetic properties of binuclear copper (II) complex of a bibrachial lariat ether,N/A
 Hong Zhang,The electronic spectra and its theoretical analysis of [Fe3O (OBz)(6)(CH3OH)(3)](NO3)(CH3OH)(2)(OBz (-)= benzoate),N/A
 Hong Zhang,Challenges in Nanoscience,ACS nano
 Hong Zhang,www. rsc. org/chemsocrev Volume 41| Number 2| 21 January 2012| Pages 525–944,N/A
 Hong Zhang,www. rsc. org/chemsocrev Volume 40| Number 11| November 2011| Pages 5209–5620,N/A
 Ayusman Dash,Airscript-creating documents in air,2017 14th IAPR International Conference on Document Analysis and Recognition (ICDAR)
 Ayusman Dash,Indic-transformers: An analysis of transformer language models for Indian languages,arXiv preprint arXiv:2011.02323
 Ayusman Dash,One to Rule Them All: Towards Joint Indic Language Hate Speech Detection,arXiv preprint arXiv:2109.13711
 Ayusman Dash,"Ayushman Dash, Pedro Alonso, Gustav Pihlgren, Vinay Pondeknath, Fotini Simistira, and Marcus Liwicki. Subword semantic hashing for intent classification on small datasets",2019 International Joint Conference on Neural Networks (IJCNN)
 Ayusman Dash,Subword Semantic Hashing for Intent Classification on Small Datasets Download PDF,2019 International Joint Conference on Neural Networks (IJCNN)
 Nitesh Singh,"NIHONMACHI: The Consumption of Japantown, San Francisco","Marketing, Technology and Customer Commitment in the New Economy"
 Nitesh Singh,Adaptation of cultural content: evidence from B2C e-commerce firms,European Journal of Marketing
 Nitesh Singh,Meta-review And Critique of Qualitative Ethical Decision Making Research: 2004-2014,N/A
 Nitesh Singh,Application of the Eclectic Paradigm,Journal of International Business Studies
 Nitesh Singh,Country Culture: The Biggest Barrier to FCPA,N/A
 Debabrata Dash,Review of book: BIOTECHNOLOGY METHODS OF POLLUTION CONTROL (SA Abbasi and E Rsamasami),N/A
 Debabrata Dash,Some studies on Immobilized Lactobacillus delbruecki (NCIM-2365) in calcium alginate for the production of lactic acid,Letters in applied microbiology
 Debabrata Dash,High rate biodegradation of municipal solid wastes by advanced solid-state fermentation process,Sustainability
 Debabrata Dash,Oil shales and tar sands,N/A
 Debabrata Dash,Contributor Index (Vol. 11),N/A
 Aneesa Fasim,Isolation and purification of microbial exopolysaccharides and their industrial application,N/A
 Aneesa Fasim,Bioremediation of Pesticides Containing Soil and Water,N/A
 Aneesa Fasim,Profilin activates bacillus thuringiensis phosphoinositide specific phospholipase C.,N/A
 Aneesa Fasim,PROFILIN ACTIVATES BACILLUS THURINGIENSIS PHOSPHOINOSITIDE SPECIFIC PHOSPHOLIPASE C,N/A
 Aneesa Fasim,Corrigendum to “Phorbol ester mediated activation of inducible nitric oxide synthase results in platelet profilin nitration”[Nitric Oxide 14 (2006) 65–71],Nitric Oxide
 Deepshikha Sharma,Assessment of diffuse water pollution load from an urban catchment in India.,NOVATECH 2010
 Deepshikha Sharma,HKH2Glasgow: Promoting Ambitious Climate Action for the Hindu Kush Himalayas,Mountain Research and Development
 Deepshikha Sharma,Re-assessment of wind energy potential with new technology in India,Wind Engineering
 Deepshikha Sharma,"State of Landfill Sites in the National Capital Territory and their Impact on Groundwater Pollution, India",N/A
 Deepshikha Sharma,肯尼亚风电发展前景分析,N/A
 Surya S. Singh,Nuclear spin cooling and statistics with diamond NV centers,N/A
 Surya S. Singh,"Retesh Maurya,Surya Kant Singh and Ashish Maurya, “Automated Multiple Skin Cancers Detection using 2D-Wavelelet Transform based on Multi-Class Support Vector Machine” In …",N/A
 Surya S. Singh,"Retesh Maurya,Surya Kant Singh and Ashish Maurya, “GLCM and Multi Class Support Vector Machine based Automated Skin Cancer Classification”, In Proceedings of 8 th IEEE 2014 …",2014 International Conference on Computing for Sustainable Global Development (INDIACom)
 Surya S. Singh,"Surya Kant Singh and Retesh Maurya, “Application of Combined Local Binary Pattern in Facial Expression Recognition”, In Proceedings of, Prod# CFP1288T-POD , ISBN: 978-1-4673 …",N/A
 Surya S. Singh,"Surya Kant Singh and Retesh Maurya,”Skin Cancer classification using Multi Class Support Vector Machine in color space”, In Proceedings of 5th IEEE international conference on …",2014 International Conference on Computing for Sustainable Global Development (INDIACom)
 Kai Li Tan,VAMP associated proteins are required for autophagic and lysosomal degradation by promoting a PtdIns4P-mediated endosomal pathway,Autophagy
 Kai Li Tan,Genetic screen for regulators of lymph gland homeostasis and hemocyte maturation in Drosophila,G3: Genes| Genomes| Genetics
 Kai Li Tan,A Genetic Screen for Genes That Impact Peroxisomes in Drosophila Identifies Candidate Genes for Human Disease,"G3: Genes, Genomes, Genetics"
 Kai Li Tan,"The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration (vol 12, e1001847, 2014)",Development
 Kai Li Tan,Correction: The Retromer Complex Is Required for Rhodopsin Recycling and Its Loss Leads to Photoreceptor Degeneration,PLoS Biology
 Bo Xiong,"A Bibliometric Insight of Genetic Factors in ASD: Emerging Trends and New Developments. Brain Sci. 2021, 11, 33",N/A
 Bo Xiong,Correction: Impaired Mitochondrial Energy Production Causes Light-Induced Photoreceptor Degeneration Independent of Oxidative Stress,PLoS biology
 Bo Xiong,DE NOVO GENIC MUTATIONS AMONG A CHINESE AUTISM SPECTRUM DISORDER COHORT,Nature communications
 Bo Xiong,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Bo Xiong,"621 Perinatal programming of adult hippocampal structure and function; emerging roles of stress, nutrition and epigenetics",Trends in neurosciences
 Shinya Yamamoto,Correction: the retromer complex is required for rhodopsin recycling and its loss leads to photoreceptor degeneration,PLoS Biology
 Shinya Yamamoto,Novel Insights Into the Notch Signaling Pathway Though Forward Genetic Approaches: In Vivo Analysis of Notch and EHBP1 in Drosophila,N/A
 Shinya Yamamoto,"Gastroent. Gastroent. 96, 795-803, 1989",Biological & pharmaceutical bulletin
 Shinya Yamamoto,Notch Signaling,Science
 Shinya Yamamoto,"Loss of Frataxin induces iron toxicity, sphingolipid synthesis, and Pdk1/Mef2 activation, leading to neurodegeneration 2",Elife
 Hector Sandoval,Correction: Impaired Mitochondrial Energy Production Causes Light-Induced Photoreceptor Degeneration Independent of Oxidative Stress,PLoS biology
 Hector Sandoval,Amino acid residues in Rag1 crucial for DNA hairpin formation (35.12),N/A
 Hector Sandoval,Autoimmunity Caused by Cell Type-Specific Deficiency in Apoptosis.,N/A
 Hector Sandoval,Supplementary Material for,Intensive care medicine
