author,title,publish_place
 Andrea Kopp,Coordinating Innovation-the Role of Public Agency in Mission-Oriented Innovation Systems,N/A
 Andrea Kopp,Networked Transitions: Policy Coordination in Socio-Technical Innovation Systems,Networked Transitions: Policy Coordination in Socio-Technical Innovation Systems
 Andrea Kopp,Coordinating Multi-Technology Innovation Systems–the Case of Shared Autonomous Vehicles,N/A
 Andrea Kopp,Sustainability Transitions in Aviation: A Technological Innovation System Perspective on Future Alternatives,N/A
 Andrea Kopp,Coordinating Multi-Technology Innovation Towards Sustainability,N/A
 Yunwei Sun,Global sampling for integrating physics-specific subsystems and quantifying uncertainties of CO2 geological sequ...,N/A
 Yunwei Sun,Optimization of pump-treat-inject (PTI) design for,N/A
 Yunwei Sun,Gas Transport from an Underground Source in Fractured Rock with Application to the OSI and IMS Regimes: A French-US Collaborative Study,N/A
 Yunwei Sun,Modeling Multispecies Reactive,Groundwater Monitoring & Remediation
 Yunwei Sun,"Court B, Celia MA and Wolery TJ",International Journal of Greenhouse Gas Control
 Chang Yu,DeepRT: deep learning for peptide retention time prediction in proteomics,arXiv preprint arXiv:1705.05368
 Chang Yu,YHap: a population model for probabilistic assignment of Y haplogroups from re-sequencing data,BMC bioinformatics
 Chang Yu,YHap: software for probabilistic assignment of Y haplogroups from population re-sequencing data,arXiv preprint arXiv:1304.3351
 Chang Yu,Efficient SNP-sensitive alignment and database-assisted SNP calling for low coverage samples,"Proceedings of the ACM Conference on Bioinformatics, Computational Biology and Biomedicine"
 Chang Yu,MICA: A fast short-read aligner that takes full advantage of Many Integrated Core Architecture (MIC) 2,arXiv preprint arXiv:1402.4876
 Yi Lai,A general 3-D elastic constitutive model for an imperfectly bonded periodic anisotropic multilayered medium,N/A
 Yi Lai,Design Guideline for Ball Impact Test Apparatus,N/A
 Yi Lai,PROFESSOR ND STOJADINOVIC TOJADINOVIC,N/A
 Yi Lai,Manuscript Preparation Guidelines for IMAPS-TAIWAN 2006 Proceeding,N/A
 Yi Lai,", Designing for Reliability",N/A
 Jiang Wu,Socialisme amb característiques xineses,N/A
 Jiang Wu,语言事业百年谈,N/A
 Jiang Wu,"长李小林和 NGA 主席, 华盛顿州州长葛瑞格尔签署了建立中美省州长论坛的协议, 揭开了两国地方政府交流的新一页.● 1 日. 中共中央, 周务院",N/A
 Jiang Wu,现实意义的研究趋势,比较教育研究
 Jiang Wu,More Carrot Than Stick: Beijing’s Emerging Taiwan Policy,N/A
 Ye Qu,The Effects of Abusive Supervision Climate on Team Mindfulness and Team Conflict,N/A
 Ye Qu,The Role of Work Passion in the Forgiveness of Abusive Supervision and Employee Behaviors,N/A
 Ye Qu,University of Miami,N/A
 Ye Qu,Valuing Benevolence or Power? The Joint Effects of Authentic Leadership and Leaders’ Values,N/A
 Ye Qu,The Mechanism of Psychological Capital——Moderated by Social Integration,N/A
 Wei Jia Sun,Self-Template Synthesis of Co–Se–S–O Hierarchical Nanotubes as Efficient Electrocatalysts for Oxygen Evolution under Alkaline and Neutral Conditions,ACS applied materials & interfaces
 Wei Jia Sun,Highly Efficient and Selective Visible‐Light Driven CO2‐to‐CO Conversion by a Co(II) Homogeneous Catalyst in H2O/CH3CN Solution,ChemCatChem
 Wei Jia Sun,Conjugation Effect Contributes to the CO2-to-CO Conversion Driven by Visible-Light,ACS Applied Energy Materials
 Wei Jia Sun,Homogeneous Electrocatalytic Water Oxidation by a Rigid Macrocyclic Copper (II) Complex,Chinese Journal of Chemistry
 Wei Jia Sun,Rapid electron transfer via dynamic coordinative interaction boosts quantum efficiency for photocatalytic CO2 reduction,Nature communications
 Xiao Lei Zhang,Echinacoside Upregulates Sirt1 to Suppress Endoplasmic Reticulum Stress and Inhibit Extracellular Matrix Degradation In Vitro and Ameliorates Osteoarthritis In Vivo,Oxidative medicine and cellular longevity
 Xiao Lei Zhang,Apigenin Alleviates Intervertebral Disc Degeneration via Restoring Autophagy Flux in Nucleus Pulposus Cells,Frontiers in cell and developmental biology
 Xiao Lei Zhang,Hematogenous Macrophages: A New Therapeutic Target for Spinal Cord Injury,N/A
 Xiao Lei Zhang,The endocrine role of bone: Novel functions of bone-derived cytokines,Biochemical Pharmacology
 Xiao Lei Zhang,Research progress of cell dedifferentiation induced by reversine,Zhongguo xiu fu Chong Jian wai ke za zhi= Zhongguo Xiufu Chongjian Waike Zazhi= Chinese Journal of Reparative and Reconstructive Surgery
 Ling Zhi Li,Mapping the antioxidant activity of apple peels with soft probe scanning electrochemical microscopy,Journal of Electroanalytical Chemistry
 Ling Zhi Li,Establishing linear solvation energy relationships between VOCs and monolayer-protected gold nanoclusters using quartz crystal microbalance,Talanta
 Ling Zhi Li,DNA Functional Gold and Silver Nanomaterials for Bioanalysis,"Functional Nanoparticles for Bioanalysis, Nanomedicine, and Bioelectronic Devices Volume 2"
 Ling Zhi Li,製備功能性奈米材料於生物環境之應用,N/A
 Ling Zhi Li,Colorimetric detection of immunoglobulin G in plasma using functional iron oxide and gold nanoparticles,N/A
 Jing Mu,Spatial resolution of visual stimuli in ssvep-based brain-computer interface,2019 9th International IEEE/EMBS Conference on Neural Engineering (NER)
 Jing Mu,Frequency Superposition–A Multi-Frequency Stimulation Method in SSVEP-based BCIs,2021 43rd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)
 Jing Mu,Comparison of steady-state visual evoked potential (SSVEP) with LCD vs. LED stimulation,2020 42nd Annual International Conference of the IEEE Engineering in Medicine & Biology Society (EMBC)
 Jing Mu,Multi-Frequency Canonical Correlation Analysis (MFCCA): A Generalised Decoding Algorithm for Multi-Frequency SSVEP,arXiv preprint arXiv:2011.05861
 Hui Yang,"Regional Geology of Heilongjiang Province Regional Geology of Heilongjiang Province, 1993",N/A
