Name,Academic Reputation Score,Citations per Faculty,Faculty Student Ratio,Overall Score,Rank
Ludwig-Maximilians-Universitat Munchen,92.8,50,52.7,49.1,64
Washington University in St. Louis,41.3,61,99.9,79,108
"Stony Brook University, State University of New York",20.1,41,34.6,31.7,381
Pfizer Worldwide Research and Development,NaN,NaN,NaN,NaN,NaN
University of Nebraska - Lincoln,10.8,38.2,22.7,57.5,581
Peking University,99.4,89.5,83.5,45.6,18
University of Adelaide,NaN,NaN,NaN,NaN,NaN
University of Bari,11.9,29.4,4.9,1.8,943
Bengbu Medical College,NaN,NaN,NaN,NaN,NaN
Hadassah University,NaN,NaN,NaN,NaN,NaN
Second Military Medical University,NaN,NaN,NaN,NaN,NaN
Southeast University,12,63.8,33.6,2.7,467
University of Glasgow,74.4,38.7,59.6,95.8,73
Indiana University Bloomington,37.8,35.2,33,26.5,312
Chonnam National University,9.2,15.8,40.1,2.4,756
Tufts University,19.6,50.7,73.9,17.8,278
Worcester Polytechnic Institute,3.8,35.3,17.9,9.6,799
Xi'an Jiaotong University,NaN,NaN,NaN,NaN,NaN
Montpellier 1 & 2 University,NaN,NaN,NaN,NaN,NaN
National Medicines Institute,NaN,NaN,NaN,NaN,NaN
Kurume University School of Medicine,NaN,NaN,NaN,NaN,NaN
Justus Liebig University,NaN,NaN,NaN,NaN,NaN
China Agricultural University,8,55.2,23.4,1.5,612
University of Bath,34.8,63.3,22.4,98.7,168
University of São Paulo,NaN,NaN,NaN,NaN,NaN
Indian Institute of Technology Kharagpur (IIT-KGP),28,88,16.7,1.5,282
Virginia Tech,NaN,NaN,NaN,NaN,NaN
University of Wisconsin-Madison,83.4,58.4,69.2,8.1,76
Sun Yat-sen University,36.2,36.2,61.9,2.2,262
University of South Carolina,16.4,31.2,12,25.3,650
Fourth Military Medical University,NaN,NaN,NaN,NaN,NaN
Chinese Academy of Sciences,NaN,NaN,NaN,NaN,NaN
Banaras Hindu University,NaN,NaN,NaN,NaN,NaN
Osmania University,NaN,NaN,NaN,NaN,NaN
Baylor College,NaN,NaN,NaN,NaN,NaN
Uppsala University,65.1,53.4,38.9,86.3,126
University of Oxford,100,96,100,99.5,2
Baylor College,NaN,NaN,NaN,NaN,NaN
University de Barcelona,NaN,NaN,NaN,NaN,NaN
San Francisco State University,NaN,NaN,NaN,NaN,NaN
Ohio State University,NaN,NaN,NaN,NaN,NaN
Universidad Politécnica de Valencia,NaN,NaN,NaN,NaN,NaN
Chinese Academy of Sciences,NaN,NaN,NaN,NaN,NaN
UCL,99.4,78,99,99.5,9
Uppsala University,65.1,53.4,38.9,86.3,126
DUKE-NUS Graduate Medical School,NaN,NaN,NaN,NaN,NaN
University of Cambridge,100,92.1,100,100,4
University of Malaya,NaN,NaN,NaN,NaN,NaN
University of Pittsburgh,42.3,43.9,97.5,2.6,165
University of Aberdeen,29.3,58.4,31.4,94.9,206
Tulane University,10.1,14.3,90.3,5.3,437
Baylor College,NaN,NaN,NaN,NaN,NaN
Wright State University,NaN,NaN,NaN,NaN,NaN
University of Minnesota Twin Cities,61.8,54.1,30.6,2.3,188
University of Minnesota Twin Cities,61.8,54.1,30.6,2.3,188
Osaka University,80.6,43.4,79.1,7.7,75
Universite de Nice-Sophia Antipolis,NaN,NaN,NaN,NaN,NaN
"University of North Carolina, Chapel Hill",66.3,53.9,80.9,11.8,101
Dalhousie University,18.7,70.3,16.9,100,274
Nova Southeastern University,NaN,NaN,NaN,NaN,NaN
National Jewish Medical and Research Center,NaN,NaN,NaN,NaN,NaN
Baylor College,NaN,NaN,NaN,NaN,NaN
University of Southern California,56.2,77.5,37.1,23.4,117
University of Michigan-Ann Arbor,98.6,70.5,90.2,63.4,24
Boston University,62,63.7,41,14.4,115
