author,Publication Rate
Inka Regine Weingaertner,N/A
Jessica M. Esparza,N/A
Sreedevi Avasarala,N/A
Rounak Nassirpour,N/A
Jianuo Liu,0.11
Yang Wang,0.23
Elizabeth Ngoc Hoa Tran,N/A
Fabio Sallustio,0.31
Jia Ma,0.31
Yael Friedman-Levi,N/A
Yan Zhang,0.12
Zhongpu Chen,0.83
Akrem Abdulsid,N/A
Fang Liu,N/A
Jagannath Misra,N/A
Trent Fowler,N/A
Mojca Jez,N/A
Zhenni Zhang,N/A
Christophe Broca,N/A
Sylwia Flis,N/A
Takaharu Nakayoshi,N/A
Yuri Churin,N/A
Chuan Li,N/A
Gail Doughton,N/A
Liliana O. Rocha,N/A
Prabuddha Dey,N/A
Xiaomei Ge,N/A
Xudong Shi,N/A
Yushen Jiang,0.31
Ambrish Kumar,N/A
Bo Gao,N/A
Yang Liu,N/A
Manasa K. Nayak,N/A
Wasia Rizwani,N/A
Shiuan Wang,N/A
Apiruck Watthanasurorot,N/A
Dawn E. Watkins-Chow,N/A
Erica P. Homan,N/A
Natalia Lopez-del Hoyo,N/A
Cathleen D. Valentine,N/A
Shipan Dai,N/A
Vicente Ram�rez,N/A
Haitao Wei,N/A
Meleri Jones,N/A
Miti Jearaphunt,N/A
Niyas Kudukkil Pulloor,N/A
Verity G. Kew,N/A
Michelle Khai Khun Yap,N/A
Jianming Chen,N/A
Doblin Sandai,N/A
Anusha M. Gopalakrishnan,N/A
Christopher W. Cutler,N/A
Brenda A. Wilson,0.12
S. Jeyaseelan,0.21
Nobuo Okahashi,N/A
Stephanie Dahan,N/A
Laura W. Schrum,N/A
Sen Rong Yan,N/A
Peter L. W. Yun,N/A
Samithamby Jeyaseelan,0.21
Ellen J. Beswick,N/A
Catherine J. Hunter,N/A
Suleyman Felek,N/A
Paola Massari,0.18
Min-Hee Cho,0.28
Yuan Du,0.21
Eva Hervet,0.11
Asim A. Siddiqui,0.19
Balamayooran Theivanthiran,N/A
Javier Santander,0.10
Kaitlyn Morse,0.42
Wael Abdel Halim Hegazy,N/A
Yun Sun,0.31
Carlos J. Blondel,0.15
Kelei Zhao,N/A
Whitney M. Amyot,N/A
Xianqiong Zou,N/A
Xiucai Xu,N/A
Jiale Ma,2.00
N. Zhi,N/A
Michael Waters,N/A
Sou-Ichi Makino,N/A
Chung-ming Chu,N/A
Patrick C. Y. Woo,N/A
Wulamu Mamuti,N/A
Jean-Philippe Lavigne,N/A
Ana Mena,N/A
Henry E. Cerny,N/A
Suharni Mohamad,N/A
Adis Tasanarong,N/A
Anahita Rahmani,N/A
Gurbet Celik,N/A
Young-Man Lee,N/A
Chih-Zen Chang,N/A
Jaeson Santos Calla-Choque,N/A
Li Han,N/A
Silvana Lorena Della Penna,N/A
Mao-Lin Ho,N/A
Chao-Bin Yeh,N/A
Ying-Yi Chen,N/A
Chih-Yu Peng,N/A
Chiung-Chyi Shen,N/A
Li Li,N/A
Nabilatul Hani Mohd-Radzman,N/A
Zhiqiang Wang,N/A
Ya-min Zhang,N/A
Lilian Amrein,N/A
Gong Yang,N/A
Sujit K. Bhutia,N/A
Upal K. Basu Roy,N/A
Teresa Lorenzi,N/A
Jing Huang,N/A
Emanuela Rosati,N/A
Gayathri Chadalapaka,N/A
Baoyi Zhu,N/A
Jing Hu,N/A
R. van Gelderen,N/A
Robert P. Ryan,N/A
Laurent Guillon,N/A
Lei-Chin Chen,N/A
Isao Hara,N/A
Noritoshi Kitamoto,N/A
Kotla Siva Reddy,N/A
H. Liu,N/A
Sandrine Koechler,N/A
Scarlett R Holdsworth,N/A
Daniel C Kraushaar,N/A
Arumugam Nagalingam,N/A
Ingunn Holen,N/A
Meiou Dai,N/A
Yi Fang Lee,N/A
Zhaojia Wu,N/A
Alexandr V. Bazhin,N/A
Marina S. Savchenko,N/A
Stephana Carelli,N/A
Katherine M. Finan,N/A
Kang Fang,N/A
Shun-Dong Dai,N/A
Kazutoshi Komiya,N/A
Hakan Akca,0.20
Norimitsu Tanaka,N/A
Dusanka S. Skundric,N/A
Pascale Gerbaud,N/A
M. Sisto,0.17
Itshak Golan,N/A
Xiaoyan Xiao,0.19
Dana Ben-Ami Shor,N/A
Sawsan I. Kreydiyyeh,N/A
Ji-Yong Zhou,N/A
Sarine Markossian,N/A
Hwa-Jeong Lee,N/A
Maria de Lujan Alvarez,N/A
Marilena Galdiero,N/A
Sawsan Ibrahim Kreydiyyeh,N/A
Deok-Ho Song,N/A
Chung-Hsi Hsing,N/A
M. Hyzd�alov�,N/A
Taku Inokuchi,N/A
Zhao Huang,N/A
Aramati B.M. Reddy,N/A
Kumiko Goto,N/A
Surinder Safaya,N/A
Yanping Yang,N/A
Ari Kassardjian,N/A
Hong Yu,N/A
Markus Neumeier,N/A
Ping Chen,N/A
Ye Zeng,N/A
Yue Wang,N/A
Hong-Xia Wang,N/A
Muyao Li,N/A
Yong-Duk Park,N/A
Christina Galloway,N/A
Kyoung Sik Park (only one author),N/A
Bin-Bin Ni,N/A
Hui Li,N/A
Nitai C. Hait,N/A
Hulya Karatas,N/A
Hideki Sakahira,N/A
Timothy A. Chan,N/A
Morgan E. Carlson,N/A
Shidong Jia,N/A
Michael J. Wheeler,N/A
Corine Bertolotto,N/A
