article,author,co-authors
Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,Ming-Ju Hsieh,50
Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,Ming-Hsien Chien,50
Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,Yih-Shou Hsieh,50
Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity,Pen-Yuan Lin,50
"Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways",Ming-Jyh Sheu,50
"Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways",Chieh-Hsi Wu,N/A
Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,Chih-Yu Peng,N/A
Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,Yin-Hung Chu,N/A
Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,Yu-Chao Chang,N/A
Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway,Hui-Wen Yang,50
Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,Bai-Shuan Liu,50
Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,Chiung-Chyi Shen,50
Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,Ming-Tsang Chiao,N/A
Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats,Ming-Tsang Chiao,N/A
Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,Tie Wu,N/A
Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,Ji-Kun Du,N/A
Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,Li-yi Zou,N/A
Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK,Yong-Woo Lee,27
Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes,Siti Safura Jaapar,24
Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes,Aishah Adam,50
Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes,Nabilatul Hani Mohd-Radzman,N/A
Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes,Wan Iryani Wan Ismail,N/A
Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,Dalin Sun,19
Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,Xindong Zhang,N/A
Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,Yugui Cui,N/A
Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells,Zhiqiang Wang,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Hong Xu,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Hua Sun,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Su-Hui Chen,N/A
Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury,Fu-Ming Wang,N/A
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,May Shawi,50
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Lawrence Panasci,N/A
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Jeremy Grenier,36
The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro,Raquel Aloyz,N/A
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Imelda Mercado-Uribe,50
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Asha S Multani,N/A
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Subrata Sen,N/A
RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis,Ie-Ming Shih,N/A
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Paul Dent,N/A
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Swadesh K Das,50
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Belal Azab,N/A
Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24,Mitchell E Menezes,50
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Eugene W Gerner,50
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Upal K Basu Roy,N/A
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Fotios Loupakis,N/A
Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis,Chiara Cremolini,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Maria Lorenzi,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Emma Altobelli,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Daniela Marzioni,50
HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker,Emanuela Mensà,50
Tiam1 is associated with hepatocellular carcinoma metastasis,Xianghua Ye,N/A
Tiam1 is associated with hepatocellular carcinoma metastasis,Jian Guan,N/A
Tiam1 is associated with hepatocellular carcinoma metastasis,Bin Chen,N/A
Tiam1 is associated with hepatocellular carcinoma metastasis,Qisheng Li,36
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Rita Sabatini,N/A
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Filomena De Falco,50
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Beatrice Del Papa,N/A
"c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation",Franca Falzetti,N/A
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Satya Pathi,50
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Indira Jutooru,N/A
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Sandeep Sreevalsan,29
Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors,Gayathri Chadalapaka,50
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Baoyi Zhu,N/A
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Yuying Zhang,N/A
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Chunwei Ye,N/A
Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells,Yu Wang,N/A
"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition",Eileen Friedman,50
"Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition",Holly Deng,N/A
Physical characterisation of Tenacibaculum maritimum for vaccine development,J. Carson,N/A
Physical characterisation of Tenacibaculum maritimum for vaccine development,Nicholas Gudkovs,N/A
Physical characterisation of Tenacibaculum maritimum for vaccine development,B.F. Nowak,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Jean F Lucey,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Karen O'Donovan,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Yvonne McCarthy,N/A
HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa,Liang Yang,50
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Laurent Guillon,30
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Maher El Mecherki,N/A
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Stephan Altenburger,15
High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274,Peter L. Graumann,50
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Jung-Chi Chen,N/A
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Jwu-Ching Shu,N/A
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Chien-Yen Chen,N/A
Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse,Ssu-Ching Chen,50
Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,Noriyuki Sato,N/A
Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,Noriyuki Sato,N/A
Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,Noriyuki Sato,N/A
Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy,Noriyuki Sato,N/A
