x-coordinate,y-coordinate,Similarity_score
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,A Critical Role for Notch Signaling in the Formation of Cholangiocellular Carcinomas.html,0.007304714942625026
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,A Neoplastic Gene Fusion Mimics Trans-Splicing of RNAs in Normal Human Cells.html,0.01237352691801551
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,A novel function for p21Cip1 and acetyltransferase pCAF as critical transcriptional regulators of TG.html,0.9779320338032528
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,A SUMOylation-defective MITF germline mutation predisposes to melanoma and renal carcinoma.html,0.9104311905866364
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Adenovirus-mediated overexpression of BMP-9 inhibits human osteosarcoma cell growth and migration th.html,0.056382101184743606
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Adiponectin stimulates release of CCL2, -3, -4 and -5 while the surface abundance of CCR2 and -5 is .html",0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,An Extracellular Subtilase Switch for Immune Priming in Arabidopsis.html,0.9671834255666225
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Anti-inflammatory effect of aldose reductase inhibition in murine polymicrobial sepsis.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Anti-ribosomal-P antibodies accelerate lupus glomerulonephritis and induce lupus nephritis in nai_ve.html,0.006436774164645162
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Antirecoverin autoantibodies in the patient with non-small cell lung cancer but without cancer-assoc.html,0.0071684940347456726
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,Aspirin Delimits Platelet Life Span by Proteasomal Inhibition.html,0.9660449092796167
14-3-3__ is required to prevent mitotic catastrophe after DNA damage.html,"Association and Evidence for Linked Recognition of Type IV Secretion System Proteins VirB9-1, VirB9-.html",0.01675688677866921
