Unnamed: 0,Authors,Title,Citation,DOI,Year,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",institution_info,city_country,LatLng,city_name,GreenPct,NearBodyOfWater,University,NearParks
0,"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer",Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,"PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",10.1371/journal.pone.0053510,01/01/13,1.0,,1.0,,"duplicated blot, shifted microscopy",1,10/09/15,,1.0,,1,"['Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany', 'Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany', 'Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany']","[' Ludwig-Maximilians-University', "" Germany'"", ' Munich']","(48.1372, 11.5755)",['munich'],,,ludwig-maximilians-university,False
1,"Jessica M. Esparza, Eileen O’Toole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher",Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940",10.1371/journal.pone.0053940,01/01/13,,1.0,,,duplicated colony strip,1,01/15/16,,1.0,,1,"['Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America']","[' St. Louis', ' Missouri', "" United States of America'""]","(38.6358, -90.2451)",['st. louis'],33.13%,False,washington university school of medicine,True
2,"Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London",Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0057285,01/01/13,,,1.0,,reuse of one lane in different blot experiment,1,08/04/15,,1.0,,1,"['Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America']","["" United States of America'"", ' New York', ' Stony Brook']","(40.9099, -73.1213)","['stony brook university', 'stony brook', 'new york']",35.11%,False,stony brook university,False
3,"Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin ",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pone.0062170,01/01/13,1.0,,,1,Duplicated / mirrored bands in blot,1,04/10/17,1.0,,,1,"['Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America', 'Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America', 'Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America', 'Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America']","[' California', ' San Diego', "" United States of America'""]","(32.8312, -117.1225)","['san diego', 'california']",,,,
4,"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904",10.1371/journal.pone.0064904,01/01/13,,1.0,,,multiple duplicated microscopy images,1,09/19/14,,1.0,,1,"['Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Department of Pathology and Microbiology, University of Nebraska Medical Center, Omaha, Nebraska, United States of America']","[' Omaha', ' Nebraska', "" United States of America'""]","(41.2627, -96.0522)",['omaha'],34.13%,False,university of nebraska medical center,False
5,"Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang",Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1371/journal.pone.0063581,01/01/13,,,1.0,,part of blot panel reused to represent different protein,1,,,1.0,,1,"['Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Department of Pathology, Wayne State University School of Medicine, Tumor and Microenvironment Program of Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States of America', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Department of Pathology, Wayne State University School of Medicine, Tumor and Microenvironment Program of Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States of America', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China']","[' Beijing', "" United States of America'"", ' Michigan', ' Detroit', "" China'""]","(39.905, 116.3914)","['beijing', 'china', 'detroit']",33.66%,False,wayne state university school of medicine,False
6,"Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona",LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508",10.1371/journal.pone.0070508,01/01/13,1.0,,,1,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel",1,10/16/14,,1.0,,1,"['Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia', 'Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia', 'Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia']","[' Adelaide', "" Australia'""]","(-34.9289, 138.6011)",['adelaide'],34.91%,False,university of adelaide,True
7,"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",10.1371/journal.pone.0068296,01/01/13,,,1.0,,"overlapping microscopy images,but rotated/stretched",1,05/08/15,,1.0,,1,"['Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Department of Science, Biological and Environmental Sciences and Technologies, University of Salento, Lecce, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Schena Foundation, European Research Center for Kidney Diseases, Valenzano, Bari, Italy']","[' Lecce', "" 'Schena Foundation"", ' Bari', "" Italy'"", "" 'C.A.R.S.O. Consortium"", ' Valenzano']","(41.1253, 16.8667)","['bari', 'valenzano', 'lecce']",33.51%,False,university of salento,False
8,"Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0069485,01/01/13,,,,1,"multiple overlapping microscopy images, groups of cells visible in multiple images",1,11/25/14,,1.0,,1,"['Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Orthopedics, The Center Hospital of Bengbu, Anhui, China', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Research Center of Clinical Laboratory Science, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'University of Mississippi Cancer Institute, Jackson, Mississippi, United States of America', 'Department of Pathology and Oncology, Karmanos Cancer Institute, Wayne State University, Detroit, Michigan, United States of America', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Pathology, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts, United States of America', 'Cyrus Tang Hematology Center, Jiangsu Institute of Hematology, First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China']","["" United States of America'"", ' Anhui', ' Suzhou', ' Boston', ' Jiangsu', ' Jackson', ' Michigan', ' Detroit', ' Mississippi', ' Massachusetts', ' Bengbu', "" China'"", ' Beth Israel Deaconess Medical Center', "" 'Cyrus Tang Hematology Center""]","(32.9354, 117.3531)","['bengbu', 'china', 'jackson', 'detroit', 'boston', 'suzhou']",33.77%,False,bengbu medical college,False
9,"Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon ","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1371/journal.pone.0069583,01/01/13,,,,1,"possible duplicated lanes within same blot, patch in other blot",1,07/20/15,,1.0,,1,"['Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel']","[' The Agnes Ginges Center for Human Neurogenetics', ' Jerusalem', "" Israel'""]","(31.7833, 35.2167)",['jerusalem'],34.97%,False,hadassah university hospital,False
