Authors,Title,Citation,DOI,Year,0,1,2,3,FINDINGS,Reported,Correction Date,Retraction,Correction,No Action,"SUM 
Completed",Lab Size,Publication Rate,Other Journals Published In,1st Author Affiliation University,1st Author Duration of career,1st Author Highest Degree,1st Author Degree Area,city_country,LatLng,city_name,GreenPct,NearBodyOfWater,NearParks,Insititution,Rank,Overall Score,Academic Reputation Score,Citations per Faculty,Faculty Student Ratio,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
"Inka Regine Weingaertner, Sarah Koutnik, Hermann Ammer",Chronic Morphine Treatment Attenuates Cell Growth of Human BT474 Breast Cancer Cells by Rearrangement of the ErbB Signalling Network,"PLOS One, January 2013 | Volume 8 | Issue 1 | e53510",10.1371/journal.pone.0053510,01/01/13,1,,1,,"duplicated blot, shifted microscopy",1,10/09/15,,1,,1,"[nan, 50.0]","[nan, nan, nan]",[],"['Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany', 'Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany', 'Institute of Pharmacology, Toxicology and Pharmacy, Ludwig-Maximilians-University, Munich, Germany']",,,,"[' Ludwig-Maximilians-University', "" Germany'"", ' Munich']","(48.1372, 11.5755)",['munich'],,,FALSE,Ludwig-Maximilians-Universitat-Munchen,64,70.1,92.8,50,52.7,3.9,-1.9,8.5,3.2,0,227,11.2,47.9,1012.6,114
"Jessica M. Esparza, Eileen O’Toole, Linya Li, Thomas H. Giddings Jr., Benjamin Kozak, Alison J. Albee, Susan K. Dutcher",Katanin Localization Requires Triplet Microtubules in Chlamydomonas reinhardtii,"PLOS ONE, January 2013 | Volume 8 | Issue 1 | e53940",10.1371/journal.pone.0053940,01/01/13,,1,,,duplicated colony strip,1,01/15/16,,1,,1,"[50.0, nan, nan, 11.0]","[nan, nan, nan, nan, nan, 0.12]","[{'Biophysical Journal', 'Current Biology'}]","['Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America', 'Department of Genetics, Washington University School of Medicine, St. Louis, Missouri, United States of America']",,,Centrosome,"[' St. Louis', ' Missouri', "" United States of America'""]","(38.6358, -90.2451)",['st. louis'],33.13%,FALSE,TRUE,Washington University in St. Louis,107,58,41.3,61,99.9,-3.9,-6.1,0.6,0,25,355,13.5,,1023.4,
"Sreedevi Avasarala, Fangfang Zhang, Guangliang Liu, Ruixue Wang, Steven D. London, Lucille London",Curcumin Modulates the Inflammatory Response and Inhibits Subsequent Fibrosis in a Mouse Model of Viral- induced Acute Respiratory Distress Syndrome,"PLOS ONE, February 2013 | Volume 8 | Issue 2 | e57285, doi:10.1371/journal.pone.0057285",10.1371/journal.pone.0057285,01/01/13,,,1,,reuse of one lane in different blot experiment,1,08/04/15,,1,,1,"[32.0, 50.0, nan, 50.0]","[nan, 0.33, nan, 0.42, 0.14, 0.14]","[{'BOOK OF ABSTRACTS'}, {'International Journal of Language and Communication Disorders'}, {'BMC health services research', 'A Travelling Seminar on the Attainability and Affordability of Equity in Health Care Provision'}]","['Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America', 'Department of Oral Biology and Pathology, School of Dental Medicine, Stony Brook University, Stony Brook, New York, United States of America']",,,,"["" United States of America'"", ' New York', ' Stony Brook']","(40.9099, -73.1213)","['stony brook university', 'stony brook', 'new york']",35.11%,FALSE,FALSE,Stony Brook University,381,31.7,20.1,41,34.6,3.3,-2.2,4.4,0,0,285,20.5,,1012.3,
"Rounak Nassirpour, Pramod P. Mehta, Sangita M. Baxi, Min-Jean Yin ",miR-221 Promotes Tumorigenesis in Human Triple Negative Breast Cancer Cells,"PLOS ONE, April 2013 | Volume 8 | Issue 4 | e62170",10.1371/journal.pone.0062170,01/01/13,1,,,1,Duplicated / mirrored bands in blot,1,04/10/17,1,,,1,"[50.0, nan, nan]","[nan, 0.45, 0.26, nan]","[{'Journal of Nepal Chemical Society', 'New Journal of Chemistry'}, {'Clinical Cancer Research'}]","['Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America', 'Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America', 'Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America', 'Oncology Research, Pfizer Worldwide Research and Development, San Diego, California, United States of America']",,,,"[' California', ' San Diego', "" United States of America'""]","(32.8312, -117.1225)","['san diego', 'california']",,,,Pfizer Worldwide Research and Development,,,,,,9.7,3.3,16.7,0,,,7.9,,1020.8,
"Jianuo Liu,  Peng Xu, Cory Collins, Han Liu, Jingdong Zhang, James P. Keblesh, Huangui Xiong",HIV-1 Tat Protein Increases Microglial Outward K+ Current and Resultant Neurotoxic Activity,"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e64904, doi:10.1371/journal.pone.0064904",10.1371/journal.pone.0064904,01/01/13,,1,,,multiple duplicated microscopy images,1,09/19/14,,1,,1,"[nan, 50.0, nan, 23.0]","[0.11, 0.15, nan, 0.28, 0.19, nan, 0.16]","[{'Giant panda behavior across a coupled human and natural system'}, {'2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society'}, {'Advances in neural information processing systems', 'Artificial Intelligence and Statistics', 'J. Comput. Sci & Technol'}, {'大型水生植物在水污染治理中的应用研究进展'}, {'Angiotensin II modulates glutamate-induced depolarizations and synaptic transmission in rat locus coeruleus neurons in vitro', 'Journal of Neuroscience'}]","['Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Neurophysiology Laboratory, Department of Pharmacology and Experimental Neuroscience, University of Nebraska Medical Center, Omaha, Nebraska, United States of America', 'Department of Pathology and Microbiology, University of Nebraska Medical Center, Omaha, Nebraska, United States of America']",44,,Neuroimmunology,"[' Omaha', ' Nebraska', "" United States of America'""]","(41.2627, -96.0522)",['omaha'],34.13%,FALSE,FALSE,University of Nebraska,581,57.5,10.8,38.2,22.7,-9.8,-13.8,-6.2,0,51,,2.8,,1026.3,
"Yang Wang, Shijie Sheng, Jianzhi Zhang, Sijana Dzinic, Shaolei Li, Fang Fang, Nan Wu, Qingfeng Zheng, Yue Yang",Elevated Maspin Expression Is Associated with Better Overall Survival in Esophageal Squamous Cell Carcinoma (ESCC),"PLOS ONE, May 2013 | Volume 8 | Issue 5 | e63581",10.1371/journal.pone.0063581,01/01/13,,,1,,part of blot panel reused to represent different protein,1,,,1,,1,"[50.0, 50.0, 50.0, nan]","[0.23, nan, 0.19, nan, nan, 0.12, 0.15, 0.25, 0.08]","[{'The Astrophysical Journal Supplement Series', 'Physical Review Letters', 'The Astrophysical Journal', 'Classical and Quantum Gravity'}, {'Medical physics', 'Trends in ecology & evolution'}, {'IEEE Transactions on Industry Applications'}, {'Computer Physics Communications'}]","['Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Department of Pathology, Wayne State University School of Medicine, Tumor and Microenvironment Program of Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States of America', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Department of Pathology, Wayne State University School of Medicine, Tumor and Microenvironment Program of Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, United States of America', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China', 'Thoracic Surgery, Key Laboratory of Carcinogenesis and Translational Research Ministry of Education, Peking University School of Oncology, Beijing Cancer Hospital & Institute, Beijing, China']",22,,,"[' Beijing', "" United States of America'"", ' Michigan', ' Detroit', "" China'""]","(39.905, 116.3914)","['beijing', 'china', 'detroit']",33.66%,FALSE,FALSE,Peking University,18,45.6,99.4,89.5,83.5,-8.4,,-2.3,,,,,,,
"Elizabeth Ngoc Hoa Tran, Matthew Thomas Doyle, Renato Morona",LPS Unmasking of Shigella flexneri Reveals Preferential Localisation of Tagged Outer Membrane Protease IcsP to Septa and New Poles,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e70508, doi:10.1371/journal.pone.0070508",10.1371/journal.pone.0070508,01/01/13,1,,,1,"duplicated lanes within same blot, or in different blots, duplicated microscopy panel",1,10/16/14,,1,,1,"[nan, nan]","[nan, 0.56, 0.12]","[{'FEMS microbiology letters', 'Microbiology', 'PloS one', 'bioRxiv'}, {'Acta Medica Iranica'}]","['Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia', 'Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia', 'Discipline of Microbiology and Immunology, School of Molecular and Biomedical Science, University of Adelaide, Adelaide, Australia']",,,Virulence Factors,"[' Adelaide', "" Australia'""]","(-34.9289, 138.6011)",['adelaide'],34.91%,FALSE,TRUE,University of Adelaide,108,57.9,53.3,90.1,21.9,20.3,14.4,30.8,0,,,,,,
"Fabio Sallustio, Grazia Serino, Vincenzo Costantino, Claudia Curci, Sharon N. Cox, Giuseppe DePalma, Francesco P. Schena","miR-1915 and miR-1225-5p Regulate the Expression of CD133, PAX2 and TLR2 in Adult Renal Progenitor Cells","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e68296, doi:10.1371/journal.pone.0068296",10.1371/journal.pone.0068296,01/01/13,,,1,,"overlapping microscopy images,but rotated/stretched",1,05/08/15,,1,,1,"[nan, nan, 50.0, 50.0]","[0.31, 0.42, nan, 0.31, 0.29, 0.17, 0.09]","[{'Public Health Genomics', 'Bone'}, {'Public Health Genomics'}, {'The American journal of pathology', 'Molecular Immunology'}, {'BMC Public Health', 'Plos one'}, {'Italy: An Analysis of the Short-Term Role of Air Pollution and Meteorological Factors', 'Journal of vascular surgery', 'URBAN POLLUTION: GENERAL POPULATION AND EXPOSED WORKERS'}, {'Dalle teorie alle persone'}]","['Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Department of Science, Biological and Environmental Sciences and Technologies, University of Salento, Lecce, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Department of Emergency and Organ Transplantation, University of Bari, Bari, Italy', 'C.A.R.S.O. Consortium, Valenzano, Bari, Italy', 'Schena Foundation, European Research Center for Kidney Diseases, Valenzano, Bari, Italy']",16,PhD,Acute Kidney Injury,"[' Lecce', "" 'Schena Foundation"", ' Bari', "" Italy'"", "" 'C.A.R.S.O. Consortium"", ' Valenzano']","(41.1253, 16.8667)","['bari', 'valenzano', 'lecce']",33.51%,FALSE,FALSE,University of Bari,943,1.8,11.9,29.4,4.9,,,,,,,,,,
"Jia Ma, Qing Zhang, Sulian Chen, Binbin Fang, Qingling Yang, Changjie Chen, Lucio Miele, Fazlul H. Sarkar, Jun Xia, Zhiwei Wang",Mitochondrial Dysfunction Promotes Breast Cancer Cell Migration and Invasion through HIF1a Accumulation via Increased Production of Reactive Oxygen Species,"PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69485,  doi: 10.1371/journal.pone.0069485",10.1371/journal.pone.0069485,01/01/13,,,,1,"multiple overlapping microscopy images, groups of cells visible in multiple images",1,11/25/14,,1,,1,"[nan, nan, nan, 50.0]","[0.31, 0.1, nan, nan, 0.19, 1.33, nan, nan, 0.29, 0.25]","[{'American Journal of Physiology-Regulatory, Integrative and Comparative Physiology'}, {'Circulation research', 'The Journal of clinical investigation'}, {'arXiv preprint arXiv:2107.01674', 'Transportation', 'Computing in Civil Engineering 2019: Smart Cities, Sustainability, and Resilience'}, {'The Astrophysical Journal Supplement Series', 'arXiv preprint arXiv:2006.09841', 'Physics of the Dark Universe'}, {'DEStech Transactions on Environment, Energy and Earth Sciences', 'Journal of Southwest Petroleum University (Science & Technology Edition)', 'Journal of the American Chemical Society'}]","['Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Orthopedics, The Center Hospital of Bengbu, Anhui, China', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Research Center of Clinical Laboratory Science, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'University of Mississippi Cancer Institute, Jackson, Mississippi, United States of America', 'Department of Pathology and Oncology, Karmanos Cancer Institute, Wayne State University, Detroit, Michigan, United States of America', 'Department of Biochemistry and Molecular Biology, Bengbu Medical College, Bengbu, Anhui, China', 'Department of Pathology, Beth Israel Deaconess Medical Center, Harvard Medical School, Boston, Massachusetts, United States of America', 'Cyrus Tang Hematology Center, Jiangsu Institute of Hematology, First Affiliated Hospital of Soochow University, Suzhou, Jiangsu, China']",16,,,"["" United States of America'"", ' Anhui', ' Suzhou', ' Boston', ' Jiangsu', ' Jackson', ' Michigan', ' Detroit', ' Mississippi', ' Massachusetts', ' Bengbu', "" China'"", ' Beth Israel Deaconess Medical Center', "" 'Cyrus Tang Hematology Center""]","(32.9354, 117.3531)","['bengbu', 'china', 'jackson', 'detroit', 'boston', 'suzhou']",33.77%,FALSE,FALSE,Bengbu Medical College,,,,,,2.3,-1.9,8.1,,,,,,,
"Yael Friedman-Levi, Michal Mizrahi, Kati Frid, Orli Binyamin, Ruth Gabizon ","PrPST, a Soluble, Protease Resistant and Truncated PrP Form Features in the Pathogenesis of a Genetic Prion Disease","PLOS ONE, July 2013 | Volume 8 | Issue 7 | e69583, doi: 10.1371/journal.pone.0069583",10.1371/journal.pone.0069583,01/01/13,,,,1,"possible duplicated lanes within same blot, patch in other blot",1,07/20/15,,1,,1,"[30.0, 40.0, nan, nan]","[nan, 0.38, nan, 0.19, nan]","[{'International Symposium on Algorithms and Computation', 'Algoritmos y complejidad para algunos problemas de dominación', 'Electronic Notes in Discrete Mathematics'}, {'GENDER–Zeitschrift für Geschlecht, Kultur und Gesellschaft'}]","['Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel', 'Department of Neurology, The Agnes Ginges Center for Human Neurogenetics, Hadassah University Hospital, Jerusalem, Israel']",,PhD,Traumatic Brain Injury,"[' The Agnes Ginges Center for Human Neurogenetics', ' Jerusalem', "" Israel'""]","(31.7833, 35.2167)",['jerusalem'],34.97%,FALSE,FALSE,Hadassah University,,,,,,,,,,,,,,,
